id,concept_name,source,format,status,chapter,posted_date,notes
1,Fawning,Trauma-response literature (fight/flight/freeze/fawn),Short,Posted,Relationships,,Launch video
2,Mere-Exposure Effect,Zajonc (1968) mere-exposure research,Short,Posted,Relationships,,
3,IKEA Effect,Norton/Mochon/Ariely (2011),Short,Posted,Work,,
4,Pratfall Effect,Aronson (1966) pratfall studies,Short,Posted,Work,,
5,Reciprocity,Cialdini - Influence,Short,Posted,Work,,
6,Anchoring Bias,Tversky & Kahneman (1974),Short,Posted,Work,,
7,Zeigarnik Effect,Zeigarnik (1927),Short,Posted,Groups,,
8,Fundamental Attribution Error,Ross (1977),Short,Posted,Groups,,
9,Loss Aversion,Kahneman & Tversky - Prospect Theory,Short,Posted,Self,,
10,Spotlight Effect,Gilovich et al. (2000),Short,Posted,Self,,
11,Halo Effect,Thorndike (1920),Short,Posted,Work,,
12,Sunk Cost Fallacy,Arkes & Blumer (1985),Short,Posted,Self,,
13,Social Proof,Cialdini - Influence,Short,Posted,Groups,,
14,Dunning-Kruger Effect,Kruger & Dunning (1999),Short,Posted,Self,,
15,Cognitive Dissonance,Festinger (1957),Short,Posted,Self,,
16,Bystander Effect,Darley & Latane (1968),Short,Posted,Groups,,
17,Confirmation Bias,Nickerson (1998) review,Short,Posted,Groups,,
18,Benjamin Franklin Effect,Jecker & Landy (1969),Short,Posted,Relationships,,
19,Parasocial Relationships,Horton & Wohl (1956),Short,Posted,Relationships,,
20,Negativity Bias,Baumeister et al. (2001),Short,Posted,Self,,
21,5 Cognitive Biases Secretly Running Your Life,Compilation - see ids 6/9/14/15/20,Long-form,Posted,Self,,
22,Why We Lie to Ourselves,Festinger; motivated reasoning literature,Long-form,Posted,Self,,
23,The Science of First Impressions,Willis & Todorov (2006) thin-slicing,Long-form,Posted,Work,,
24,Why Trauma Responses Look Like Personality Flaws,Fight/flight/freeze/fawn literature,Long-form,Posted,Relationships,,
25,The Psychology of Manipulation,Simon - In Sheep's Clothing; DARVO literature,Long-form,Posted,Relationships,,
26,Why Money Doesn't Make You Happy,Kahneman & Deaton (2010) income-happiness study,Long-form,Posted,Self,,
27,The Real Reason You Procrastinate,Sirois & Pychyl (2013) emotion-regulation model,Long-form,Posted,Self,,
28,10 Psychological Tricks Advertisers Use,Cialdini - Influence; behavioral econ literature,Long-form,Posted,Work,,
29,Why Group Chats Turn Toxic,Zimbardo deindividuation; Suler online disinhibition,Long-form,Posted,Groups,,
30,The Attachment Styles Explained,"Ainsworth; Levine & Heller - Attached",Long-form,Posted,Relationships,,Cross-sell to Field Guide
31,,,Short,Backlog,,,
32,,,Short,Backlog,,,
33,,,Short,Backlog,,,
34,,,Short,Backlog,,,
35,,,Short,Backlog,,,
